X	Y	elevation
-657465.253546111	-989390.574166615	187
-660340.300286368	-988375.442211818	178
-655011.585427586	-990669.394370604	209
-661753.012471285	-990099.297424607	169
-653564.824330539	-993151.469209269	152
-661197.015052326	-992700.269844111	186
-654327.074582759	-992442.965174932	181
-659665.450568028	-991350.290880471	147
-660052.928396553	-993734.234543663	172
-658640.22294632	-994042.015560135	181
-653627.430518109	-991079.597294297	148
-657138.957020238	-993852.721405946	150
-659595.751827762	-990053.945314303	222
-661155.260656666	-991596.285265189	222
-652595.605219424	-989127.251654685	135
-653637.405175038	-989928.523505386	164
-660204.313584726	-991869.918395232	158
-660855.961398248	-989375.805784415	188
-661451.308980264	-993056.755377326	208
-658782.811445475	-993880.552642882	183
-660645.8509495	-990966.265857588	127
-660631.018310502	-990191.196226846	194
-653315.113901276	-994692.220696598	167
-654057.736311641	-990205.661033835	194
-661437.111374542	-993063.092036422	186
-660973.220965434	-992970.129010785	188
-658318.536274236	-993135.151611887	166
-652413.427478246	-989929.301255509	152
-652656.592762355	-988949.209989797	174
-657334.431659739	-991732.035027176	188
-653175.490449961	-991241.324083053	148
-654818.533603825	-994162.353326946	228
-659241.577482626	-992100.395452	224
-660077.614540897	-987327.638818376	159
-658941.403394014	-989903.017616794	202
-655181.502895948	-991569.348580536	137
-656029.551724359	-990161.672007453	222
-655765.979425766	-991603.973104984	108
-656903.165967174	-988411.992157832	175
-657408.273997169	-989819.343855403	143
-653615.792619653	-990373.780028861	197
-655855.939028241	-992934.631861795	221
-654889.07250103	-992816.808586247	180
-658145.165779974	-988916.290515956	201
-658297.405957673	-991656.813009247	171
-657000.792801157	-992427.451805163	98
-656536.724583708	-988461.892736923	134
-655658.07021632	-993381.081600882	176
-654752.206835445	-988575.948380757	227
-654886.853910409	-990138.092587322	168
-653800.313430727	-993191.263522044	192
-653455.334895842	-987228.626922738	138
-654772.169669311	-989992.98179039	195
-657441.346010599	-988832.196373612	159
-660889.142540809	-989082.930015687	157
-654237.433732416	-987715.879389092	195
-656217.314379092	-990151.258580625	217
-653540.143473949	-989027.079223514	168
-658609.665155742	-989580.698036373	182
-658193.365188099	-993797.249645367	184
-659632.541948792	-989175.464891009	177
-659156.312247794	-988495.812633615	192
-652855.508607931	-989959.193549797	121
-661371.623849135	-991730.900460035	233
-652546.981510989	-987560.521688547	223
-656787.985542189	-991118.337720118	229
-652419.02894881	-990194.535148934	138
-656904.399481885	-992728.752169404	197
-657113.873357948	-987460.047801092	174
-659556.238763839	-988648.801453013	192
-659663.06930998	-990595.924675561	189
-661259.835681561	-994466.844489854	166
-653071.876456093	-994234.407804098	173
-659709.532141674	-990489.760104712	201
-660479.717578925	-992397.503601585	210
-653079.29929224	-987252.927692499	132
-660229.124131262	-991714.972395614	141
-655036.592777442	-993356.291174844	156
-655877.722470097	-990466.4496544	215
-657483.487527072	-993091.971180022	251
-655122.465791892	-987428.428592984	221
-656990.351839159	-991934.00878102	130
-654897.781196531	-989511.172868554	190
-654532.625643779	-989330.898643102	213
-657874.31140843	-990314.978689503	123
-656486.483151205	-990395.914247166	55
-660476.823551353	-990535.123128697	141
-655758.40324679	-987337.446984258	133
-658056.69073195	-989178.868051063	152
-659532.715347383	-987191.626615424	182
-659630.703728892	-987228.141314276	187
-660200.937945984	-991272.449554794	226
-654604.519577265	-994654.25889571	174
-656771.902280893	-990022.737606347	149
-659962.360252451	-992507.432462644	112
-659896.871925406	-988869.895181395	209
-657802.426044151	-992537.585656207	94
-655827.840422448	-989322.812274802	192
-659418.419980146	-994074.055289019	176
-653670.329144403	-989851.70581026	199
-655813.47414358	-992889.663433228	202
-658740.694330659	-992298.543467034	211
-652389.023038685	-991273.406939603	155
-657254.383410834	-993287.253515705	224
-652773.887311123	-992045.490048189	127
-652471.753879663	-992357.230406381	164
-654447.915656734	-994862.522581331	194
-654867.933588836	-994721.480176847	161
-655281.715898018	-990614.74582902	211
-658100.427378938	-988169.361240227	250
-660953.34342945	-989892.351909764	156
-652568.096849598	-992387.815880544	177
-655754.111189336	-988831.061336786	240
-657884.049794342	-992760.224093046	55
-654644.65183321	-987589.950409677	214
-661747.530326571	-988458.694064919	114
-660988.177718125	-993112.141613968	181
-657165.74329045	-993874.891244289	137
-656420.743965007	-992138.78323767	160
-658965.776058566	-988755.383310698	229
-652764.769953955	-994364.589062829	209
-661255.463836413	-993967.134956744	164
-658120.512804698	-991035.185101178	154
-657059.346415471	-993204.773608111	187
-656561.777823213	-991170.62823328	221
-660332.988325793	-991314.734003838	223
-659568.9849093	-994053.692531981	183
-660052.424359206	-993449.814300887	183
-657863.84734194	-992274.071850169	140
-658886.64856033	-993679.650953516	186
-659703.738254793	-987804.370832879	163
-652519.79927766	-988121.684498649	148
-653604.119012859	-989029.741185665	186
-658016.060466398	-992031.507633641	88
-659410.013708811	-989195.664505772	115
-659077.605261881	-989354.209824823	227
